quest_id,stage_id,description_key,narrative_key,trigger_event_id,auto_condition_type,auto_condition_param,auto_condition_value
quest_caravaneer_5,stage_accept,quest.quest_caravaneer_5.stage_accept,,,,,
quest_caravaneer_5,stage_journey,quest.quest_caravaneer_5.stage_journey,quest.quest_caravaneer_5.stage_journey.narrative,event_caravaneer5_arrival_baghdad,,,
quest_caravaneer_5,stage_complete,quest.quest_caravaneer_5.stage_complete,quest.quest_caravaneer_5.stage_complete.narrative,event_caravaneer5_complete,,,
quest_silk_1,stage_accept,quest.quest_silk_1.stage_accept,,,,,
quest_silk_1,stage_deliver,quest.quest_silk_1.stage_deliver,quest.quest_silk_1.stage_deliver.narrative,event_silk1_arrival_changan,,,
quest_silk_1,stage_complete,quest.quest_silk_1.stage_complete,,event_silk1_complete,,,
quest_silk_2,stage_accept,quest.quest_silk_2.stage_accept,quest.quest_silk_2.narrative.stage_accept,,,,
quest_silk_2,stage_find,quest.quest_silk_2.stage_find,quest.quest_silk_2.narrative.stage_find,event_silk2_find,,,
quest_silk_2,stage_complete,quest.quest_silk_2.stage_complete,,event_silk2_complete,,,
quest_silk_3,stage_accept,quest.quest_silk_3.stage_accept,,,,,
quest_silk_3,stage_infiltrate,quest.quest_silk_3.stage_infiltrate,,event_silk3_infiltrate,,,
quest_silk_3,stage_complete,quest.quest_silk_3.stage_complete,,event_silk3_complete,,,
quest_silk_4,stage_accept,quest.quest_silk_4.stage_accept,,,,,
quest_silk_4,stage_build,quest.quest_silk_4.stage_build,,event_silk4_build,,,
quest_silk_4,stage_complete,quest.quest_silk_4.stage_complete,,event_silk4_complete,,,
quest_silk_5,stage_accept,quest.quest_silk_5.stage_accept,,,,,
quest_silk_5,stage_deliver,quest.quest_silk_5.stage_deliver,quest.quest_silk_5.stage_deliver.narrative,event_silk5_arrival_changan,,,
quest_silk_5,stage_complete,quest.quest_silk_5.stage_complete,quest.quest_silk_5.stage_complete.narrative,event_silk5_complete,,,
quest_artifact_1,stage_accept,quest.quest_artifact_1.stage_accept,quest.quest_artifact_1.narrative.stage_accept,,,,
quest_artifact_1,stage_decipher,quest.quest_artifact_1.stage_decipher,quest.quest_artifact_1.narrative.stage_decipher,event_artifact1_decipher,,,
quest_artifact_1,stage_first_relic,quest.quest_artifact_1.stage_first_relic,,event_artifact1_complete,,,
quest_artifact_1,stage_collect_1,quest.quest_artifact_1.stage_collect_1,,"event_artifact2_khotan,event_artifact2_balkh,event_artifact2_kucha",quest_flag,quest_artifact_1.artifacts_collected,1
quest_artifact_1,stage_collect_2,quest.quest_artifact_1.stage_collect_2,,"event_artifact2_khotan,event_artifact2_balkh,event_artifact2_kucha",quest_flag,quest_artifact_1.artifacts_collected,2
quest_artifact_1,stage_collect_3,quest.quest_artifact_1.stage_collect_3,,"event_artifact2_khotan,event_artifact2_balkh,event_artifact2_kucha",quest_flag,quest_artifact_1.artifacts_collected,3
quest_artifact_1,stage_complete,quest.quest_artifact_1.stage_complete,,event_artifact2_complete,,,
quest_artifact_3,stage_accept,quest.quest_artifact_3.stage_accept,,,,,
quest_artifact_3,stage_expose,quest.quest_artifact_3.stage_expose,,event_artifact3_expose,,,
quest_artifact_3,stage_complete,quest.quest_artifact_3.stage_complete,,event_artifact3_complete,,,
quest_artifact_4,stage_accept,quest.quest_artifact_4.stage_accept,,,,,
quest_artifact_4,stage_search,quest.quest_artifact_4.stage_search,,event_artifact4_search,,,
quest_artifact_4,stage_complete,quest.quest_artifact_4.stage_complete,,event_artifact4_complete,,,
quest_artifact_5,stage_accept,quest.quest_artifact_5.stage_accept,,,,,
quest_artifact_5,stage_deliver,quest.quest_artifact_5.stage_deliver,quest.quest_artifact_5.stage_deliver.narrative,event_artifact5_arrival_changan,,,
quest_artifact_5,stage_complete,quest.quest_artifact_5.stage_complete,,event_artifact5_complete,,,
quest_bg_merchant_1,stage_accept,quest.quest_bg_merchant_1.stage_accept,,,,,
quest_bg_merchant_1,stage_investigate,quest.quest_bg_merchant_1.stage_investigate,quest.quest_bg_merchant_1.stage_investigate.narrative,bg_merchant_1_investigate,,,
quest_bg_merchant_1,stage_complete,quest.quest_bg_merchant_1.stage_complete,,bg_merchant_1_complete,,,
quest_bg_merchant_2,stage_accept,quest.quest_bg_merchant_2.stage_accept,,,,,
quest_bg_merchant_2,stage_search,quest.quest_bg_merchant_2.stage_search,quest.quest_bg_merchant_2.stage_search.narrative,bg_merchant_2_search,,,
quest_bg_merchant_2,stage_complete,quest.quest_bg_merchant_2.stage_complete,,bg_merchant_2_complete,,,
quest_bg_merchant_3,stage_accept,quest.quest_bg_merchant_3.stage_accept,,,,,
quest_bg_merchant_3,stage_complete,quest.quest_bg_merchant_3.stage_complete,,bg_merchant_3_complete,,,
quest_bg_caravaneer_1,stage_accept,quest.quest_bg_caravaneer_1.stage_accept,,,,,
quest_bg_caravaneer_1,stage_inquire,quest.quest_bg_caravaneer_1.stage_inquire,quest.quest_bg_caravaneer_1.stage_inquire.narrative,bg_caravaneer_1_inquire,,,
quest_bg_caravaneer_1,stage_complete,quest.quest_bg_caravaneer_1.stage_complete,,bg_caravaneer_1_complete,,,
quest_bg_caravaneer_2,stage_accept,quest.quest_bg_caravaneer_2.stage_accept,,,,,
quest_bg_caravaneer_2,stage_find,quest.quest_bg_caravaneer_2.stage_find,quest.quest_bg_caravaneer_2.stage_find.narrative,bg_caravaneer_2_find,,,
quest_bg_caravaneer_2,stage_complete,quest.quest_bg_caravaneer_2.stage_complete,,bg_caravaneer_2_complete,,,
quest_bg_caravaneer_3,stage_accept,quest.quest_bg_caravaneer_3.stage_accept,,,,,
quest_bg_caravaneer_3,stage_complete,quest.quest_bg_caravaneer_3.stage_complete,,bg_caravaneer_3_complete,,,
quest_bg_wanderer_1,stage_accept,quest.quest_bg_wanderer_1.stage_accept,,,,,
quest_bg_wanderer_1,stage_locate,quest.quest_bg_wanderer_1.stage_locate,quest.quest_bg_wanderer_1.stage_locate.narrative,bg_wanderer_1_locate,,,
quest_bg_wanderer_1,stage_complete,quest.quest_bg_wanderer_1.stage_complete,,bg_wanderer_1_complete,,,
quest_bg_wanderer_2,stage_accept,quest.quest_bg_wanderer_2.stage_accept,,,,,
quest_bg_wanderer_2,stage_track,quest.quest_bg_wanderer_2.stage_track,quest.quest_bg_wanderer_2.stage_track.narrative,bg_wanderer_2_track,,,
quest_bg_wanderer_2,stage_complete,quest.quest_bg_wanderer_2.stage_complete,,bg_wanderer_2_complete,,,
quest_bg_wanderer_3,stage_accept,quest.quest_bg_wanderer_3.stage_accept,,,,,
quest_bg_wanderer_3,stage_complete,quest.quest_bg_wanderer_3.stage_complete,,bg_wanderer_3_complete,,,
quest_bg_diplomat_1,stage_accept,quest.quest_bg_diplomat_1.stage_accept,,,,,
quest_bg_diplomat_1,stage_decode,quest.quest_bg_diplomat_1.stage_decode,quest.quest_bg_diplomat_1.stage_decode.narrative,bg_diplomat_1_decode,,,
quest_bg_diplomat_1,stage_complete,quest.quest_bg_diplomat_1.stage_complete,,bg_diplomat_1_complete,,,
quest_bg_diplomat_2,stage_accept,quest.quest_bg_diplomat_2.stage_accept,,,,,
quest_bg_diplomat_2,stage_pass,quest.quest_bg_diplomat_2.stage_pass,quest.quest_bg_diplomat_2.stage_pass.narrative,bg_diplomat_2_pass,,,
quest_bg_diplomat_2,stage_complete,quest.quest_bg_diplomat_2.stage_complete,,bg_diplomat_2_complete,,,
quest_bg_diplomat_3,stage_accept,quest.quest_bg_diplomat_3.stage_accept,,,,,
quest_bg_diplomat_3,stage_complete,quest.quest_bg_diplomat_3.stage_complete,,bg_diplomat_3_complete,,,
quest_bg_smuggler_1,stage_accept,quest.quest_bg_smuggler_1.stage_accept,,,,,
quest_bg_smuggler_1,stage_meet,quest.quest_bg_smuggler_1.stage_meet,quest.quest_bg_smuggler_1.stage_meet.narrative,bg_smuggler_1_meet,,,
quest_bg_smuggler_1,stage_complete,quest.quest_bg_smuggler_1.stage_complete,,bg_smuggler_1_complete,,,
quest_bg_smuggler_2,stage_accept,quest.quest_bg_smuggler_2.stage_accept,,,,,
quest_bg_smuggler_2,stage_gather,quest.quest_bg_smuggler_2.stage_gather,quest.quest_bg_smuggler_2.stage_gather.narrative,bg_smuggler_2_gather,,,
quest_bg_smuggler_2,stage_complete,quest.quest_bg_smuggler_2.stage_complete,,bg_smuggler_2_complete,,,
quest_bg_smuggler_3,stage_accept,quest.quest_bg_smuggler_3.stage_accept,,,,,
quest_bg_smuggler_3,stage_complete,quest.quest_bg_smuggler_3.stage_complete,,bg_smuggler_3_complete,,,
quest_bg_bandit_1,stage_accept,quest.quest_bg_bandit_1.stage_accept,,,,,
quest_bg_bandit_1,stage_repay,quest.quest_bg_bandit_1.stage_repay,quest.quest_bg_bandit_1.stage_repay.narrative,bg_bandit_1_repay,,,
quest_bg_bandit_1,stage_complete,quest.quest_bg_bandit_1.stage_complete,,bg_bandit_1_complete,,,
quest_bg_bandit_2,stage_accept,quest.quest_bg_bandit_2.stage_accept,,,,,
quest_bg_bandit_2,stage_find,quest.quest_bg_bandit_2.stage_find,quest.quest_bg_bandit_2.stage_find.narrative,bg_bandit_2_find,,,
quest_bg_bandit_2,stage_complete,quest.quest_bg_bandit_2.stage_complete,,bg_bandit_2_complete,,,
quest_bg_bandit_3,stage_accept,quest.quest_bg_bandit_3.stage_accept,,,,,
quest_bg_bandit_3,stage_complete,quest.quest_bg_bandit_3.stage_complete,,bg_bandit_3_complete,,,
quest_bg_scholar_1,stage_accept,quest.quest_bg_scholar_1.stage_accept,,,,,
quest_bg_scholar_1,stage_acquire,quest.quest_bg_scholar_1.stage_acquire,quest.quest_bg_scholar_1.stage_acquire.narrative,bg_scholar_1_acquire,,,
quest_bg_scholar_1,stage_complete,quest.quest_bg_scholar_1.stage_complete,,bg_scholar_1_complete,,,
quest_bg_scholar_2,stage_accept,quest.quest_bg_scholar_2.stage_accept,,,,,
quest_bg_scholar_2,stage_earn,quest.quest_bg_scholar_2.stage_earn,quest.quest_bg_scholar_2.stage_earn.narrative,bg_scholar_2_earn,,,
quest_bg_scholar_2,stage_complete,quest.quest_bg_scholar_2.stage_complete,,bg_scholar_2_complete,,,
quest_bg_scholar_3,stage_accept,quest.quest_bg_scholar_3.stage_accept,,,,,
quest_bg_scholar_3,stage_complete,quest.quest_bg_scholar_3.stage_complete,,bg_scholar_3_complete,,,
quest_bg_pilgrim_1,stage_accept,quest.quest_bg_pilgrim_1.stage_accept,,,,,
quest_bg_pilgrim_1,stage_offer,quest.quest_bg_pilgrim_1.stage_offer,quest.quest_bg_pilgrim_1.stage_offer.narrative,bg_pilgrim_1_offer,,,
quest_bg_pilgrim_1,stage_complete,quest.quest_bg_pilgrim_1.stage_complete,,bg_pilgrim_1_complete,,,
quest_bg_pilgrim_2,stage_accept,quest.quest_bg_pilgrim_2.stage_accept,,,,,
quest_bg_pilgrim_2,stage_rite,quest.quest_bg_pilgrim_2.stage_rite,quest.quest_bg_pilgrim_2.stage_rite.narrative,bg_pilgrim_2_rite,,,
quest_bg_pilgrim_2,stage_complete,quest.quest_bg_pilgrim_2.stage_complete,,bg_pilgrim_2_complete,,,
quest_bg_pilgrim_3,stage_accept,quest.quest_bg_pilgrim_3.stage_accept,,,,,
quest_bg_pilgrim_3,stage_complete,quest.quest_bg_pilgrim_3.stage_complete,,bg_pilgrim_3_complete,,,
